SpecimenID,Replicates,S,Structure,F,Filter,Rep,ParticleSize_nm,Penetration_pct
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,30,34.98186
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,40,45.37278
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,60,61.545717
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,80,67.248935
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,150,74.571959
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,250,80.045242
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,300,79.259777
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,400,83.498554
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,30,32.493567
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,40,42.615998
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,60,59.705355
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,80,65.373078
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,150,76.15784
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,250,81.709003
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,300,82.079179
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,400,81.799614
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,30,32.644058
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,40,43.239022
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,60,58.026679
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,80,66.582354
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,150,76.195199
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,250,83.787879
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,300,74.311111
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,400,82.388445
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,30,34.752049
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,40,45.179871
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,60,59.120779
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,80,68.504212
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,150,78.776558
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,250,85.673806
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,300,84.354839
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,400,83.435458
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,30,36.809225
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,40,47.327039
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,60,61.23857
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,80,70.774627
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,150,79.324353
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,250,84.051495
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,300,80.976812
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,400,84.705007
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,30,10.925354
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,40,14.592417
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,60,18.583982
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,80,20.481937
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,150,21.612597
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,250,22.131764
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,300,20.492309
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,400,17.771825
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,30,10.292864
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,40,14.356975
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,60,18.647524
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,80,20.613007
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,150,23.245781
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,250,23.237066
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,300,21.594902
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,400,18.821541
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,30,12.735506
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,40,16.691178
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,60,21.241613
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,80,23.65514
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,150,28.518698
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,250,29.540118
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,300,27.812816
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,400,24.506607
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,30,10.793165
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,40,14.708855
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,60,19.628439
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,80,21.74445
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,150,25.84237
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,250,25.737739
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,300,24.193438
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,400,21.067832
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,30,12.184996
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,40,16.089635
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,60,20.250855
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,80,21.724033
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,150,25.575591
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,250,26.163749
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,300,24.618097
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,400,21.429364
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,30,1.560582
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,40,3.525781
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,60,8.669941
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,80,13.55196
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,150,18.361842
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,250,15.087709
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,300,12.916026
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,400,9.324665
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,30,2.189299
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,40,4.405787
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,60,11.034399
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,80,14.792488
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,150,19.258098
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,250,15.963876
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,300,13.616157
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,400,9.981808
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,30,1.986151
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,40,4.231493
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,60,10.785429
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,80,14.698874
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,150,19.965345
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,250,15.991844
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,300,13.577419
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,400,9.881772
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,30,2.237494
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,40,4.203254
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,60,10.302193
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,80,14.213599
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,150,18.539381
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,250,15.719738
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,300,13.84521
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,400,10.33881
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,30,1.787422
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,40,3.79577
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,60,9.599162
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,80,13.340171
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,150,17.943916
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,250,15.220659
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,300,13.009808
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,400,9.61533
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,30,22.385877
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,40,31.212306
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,60,46.232858
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,80,55.918393
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,150,68.543675
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,250,74.268534
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,300,75.299042
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,400,74.397244
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,30,21.511021
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,40,30.550304
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,60,45.617471
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,80,53.949528
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,150,70.114701
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,250,74.073955
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,300,76.736239
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,400,74.114733
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,30,20.999378
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,40,29.88862
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,60,45.22273
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,80,53.319555
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,150,66.409406
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,250,72.785953
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,300,75.35908
S2F1_R3,S2F13,2,Four-layer knit,1,Activated carbon,3,400,74.643984
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,30,23.314909
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,40,32.899151
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,60,49.458537
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,80,56.559512
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,150,69.51697
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,250,74.228099
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,300,76.685894
S2F1_R4,S2F14,2,Four-layer knit,1,Activated carbon,4,400,76.269675
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,30,20.906078
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,40,30.213042
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,60,46.873918
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,80,52.90315
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,150,66.817413
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,250,76.553512
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,300,74.528012
S2F1_R5,S2F15,2,Four-layer knit,1,Activated carbon,5,400,74.027073
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,30,9.112867
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,40,12.378526
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,60,17.567925
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,80,19.507032
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,150,23.698039
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,250,24.3389
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,300,22.808805
S2F2_R1,S2F21,2,Four-layer knit,2,Meltblown,1,400,19.908979
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,30,5.683911
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,40,8.530413
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,60,12.104855
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,80,13.884838
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,150,16.388948
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,250,16.305845
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,300,15.283281
S2F2_R2,S2F22,2,Four-layer knit,2,Meltblown,2,400,13.154811
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,30,9.215375
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,40,12.545972
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,60,17.226535
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,80,19.657439
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,150,23.692466
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,250,24.755575
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,300,23.301019
S2F2_R3,S2F23,2,Four-layer knit,2,Meltblown,3,400,20.428957
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,30,6.94076
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,40,9.957248
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,60,13.920293
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,80,15.301777
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,150,17.207216
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,250,17.022543
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,300,15.950099
S2F2_R4,S2F24,2,Four-layer knit,2,Meltblown,4,400,13.60293
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,30,5.995826
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,40,9.274217
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,60,14.000574
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,80,15.998789
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,150,19.948998
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,250,20.422484
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,300,19.510487
S2F2_R5,S2F25,2,Four-layer knit,2,Meltblown,5,400,17.531214
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,30,1.323296
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,40,2.97972
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,60,7.445538
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,80,11.650182
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,150,15.994363
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,250,14.152705
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,300,12.161599
S2F3_R1,S2F31,2,Four-layer knit,3,Glass fiber,1,400,8.63367
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,30,0.924528
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,40,2.241129
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,60,7.002565
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,80,8.617211
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,150,14.626644
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,250,12.586567
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,300,10.950826
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,400,7.874665
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,30,1.16398
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,40,2.735484
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,60,7.093556
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,80,11.659544
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,150,16.264111
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,250,13.667813
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,300,11.718849
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,400,8.391026
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,30,0.939061
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,40,2.271877
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,60,7.035967
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,80,8.570086
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,150,14.999649
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,250,12.718878
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,300,10.931854
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,400,7.929604
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,30,0.96913
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,40,2.325668
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,60,7.168455
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,80,8.700693
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,150,15.002712
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,250,12.770223
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,300,10.971619
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,400,7.956109
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,30,15.32594
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,40,21.041917
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,60,32.141428
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,80,37.642438
