Specimen_ID,qf_30,qf_40,qf_60,qf_80,qf_150,qf_250,qf_300,qf_400,,,,
S1F1_R1,8.328476997,11.73510098,18.61244959,21.71401049,26.69832738,31.31645628,30.63634244,35.16949996,,,,
S1F1_R2,8.311486504,11.77214708,19.38668508,22.67674638,30.5408319,36.23223561,36.53078045,36.4754838,,,,
S1F1_R3,8.036947556,11.54286938,17.84432274,22.44833235,29.43069995,37.17275833,27.97003477,35.6525763,,,,
S1F1_R4,10.74521479,15.15370912,22.58455191,29.21152575,39.19249464,48.98395226,46.76370595,45.19011685,,,,
S1F1_R5,12.48171261,17.37206221,25.8889731,33.7111764,42.91852632,50.30931901,45.33188965,51.37307406,,,,
S1F2_R1,27.22803795,23.74909668,20.75040792,19.55136167,18.87512031,18.60962363,19.54511918,21.36339666,,,,
S1F2_R2,26.68078599,22.79148163,19.65543521,18.49538188,17.07587502,17.03334512,17.88875107,19.47965514,,,,
S1F2_R3,22.14116284,19.30622794,16.70643635,15.5261929,13.54672733,13.1667685,13.79106138,15.13574226,,,,
S1F2_R4,24.1789547,20.89502809,17.78385735,16.65492179,14.73244626,14.82409984,15.46020492,16.97816374,,,,
S1F2_R5,23.09779088,19.99383805,17.5217101,16.75124503,14.95077998,14.72047521,15.35924819,16.86841792,,,,
S1F3_R1,27.75371036,22.27398252,16.29547204,13.33456545,11.24696565,12.54529794,13.5655844,15.72503307,,,,
S1F3_R2,23.85355887,19.47413595,13.75786015,11.93714744,10.27040299,11.43170671,12.42733247,14.357256,,,,
S1F3_R3,25.33768225,20.43588201,14.38457721,12.39437791,10.39182009,11.81868041,12.87393216,14.89976717,,,,
S1F3_R4,23.2257471,19.38352121,13.91054853,11.94074129,10.30342933,11.31208507,12.06669846,13.84893488,,,,
S1F3_R5,25.00159983,20.29197162,14.54214934,12.50451664,10.63694736,11.6180017,12.60951806,14.48938363,,,,
S2F1_R1,21.6367698,16.95445559,11.29171942,8.544621966,5.528172977,4.335423819,4.148828238,4.328748685,,,,
S2F1_R2,21.97319862,17.04993108,11.28536854,8.879522302,5.100585292,4.315069346,3.800932788,4.299880516,,,,
S2F1_R3,18.57441794,14.43739483,9.473433357,7.512525569,4.893365507,3.797323026,3.377254332,3.493528461,,,,
S2F1_R4,20.49120972,15.7582442,9.996102452,8.071049549,5.153877982,4.220901892,3.759548641,3.827060106,,,,
S2F1_R5,21.37972987,16.35183534,10.3851058,8.733710919,5.535248608,3.661953723,4.022988868,4.128571785,,,,
S2F2_R1,21.61512361,18.86319374,15.76068971,14.81973814,13.04114707,12.81311139,13.4090058,14.62699695,,,,
S2F2_R2,27.02728891,23.18349777,19.92049764,18.58497324,16.99594873,17.03430252,17.66210799,19.0722472,,,,
S2F2_R3,19.8167626,17.26796912,14.62331772,13.54561039,11.96165013,11.63115128,12.10595552,13.19917449,,,,
S2F2_R4,23.01498207,19.90998037,17.05291838,16.21809946,15.19644264,15.28185373,15.81136792,17.20858577,,,,
S2F2_R5,23.02683985,19.45777707,16.07992918,14.99598573,13.15867766,12.99215483,13.34652537,14.23381359,,,,
S2F3_R1,22.99567537,18.70629121,13.85636491,11.47532679,9.777578374,10.430137,11.22837674,13.05838624,,,,
S2F3_R2,24.49235982,19.86916384,13.91353627,12.82780287,10.03448354,10.82192364,11.53467108,13.26258583,,,,
S2F3_R3,22.53896604,18.21078026,13.40104276,10.88421237,9.184821943,10.05287878,10.83000824,12.51362942,,,,
S2F3_R4,25.65126618,20.84139313,14.62565977,13.54314183,10.43056954,11.3337467,12.18167417,13.94417227,,,,
S2F3_R5,26.04509203,21.14298963,14.82488649,13.73977823,10.65639886,11.57296672,12.41838347,14.22434452,,,,
S3F1_R1,7.742433347,6.459107335,4.723345902,4.06688984,2.656899773,2.437182197,2.087829731,2.181560318,,,,
S3F1_R2,7.815742227,6.593512937,4.855089936,4.135390403,2.919056005,2.201229222,2.251240022,2.304687474,,,,
S3F1_R3,8.40254504,7.162370906,5.597920757,4.713803044,3.339544661,2.648735948,2.511141706,2.581074947,,,,
S3F1_R4,8.05681269,7.032044579,5.427256988,4.76034311,3.538355578,2.891130864,2.675420762,2.778489363,,,,
S3F1_R5,8.752942228,7.461587091,5.799939428,5.050481244,3.47053838,2.825895603,2.656752415,2.777320003,,,,
S3F2_R1,9.145678715,8.049520532,7.564228728,7.706308335,8.567771048,9.592276749,10.08843462,11.02923208,,,,
S3F2_R2,8.60440214,7.837086582,7.590299555,8.040963249,9.216036743,10.25048567,10.77166241,11.90434751,,,,
S3F2_R3,9.235854196,8.196046009,7.757269205,7.915484401,8.92897807,10.0314657,10.53190197,11.61762779,,,,
S3F2_R4,8.48193137,7.653453124,7.458319372,7.560818775,8.406977273,9.232036824,9.725343972,10.71948913,,,,
S3F2_R5,8.879181278,7.920835238,7.407637491,7.755214356,8.471841036,9.336162633,9.827523886,10.82936418,,,,
S3F3_R1,12.42014464,10.47667609,7.776537937,7.436091869,5.709368384,6.063307955,6.491872445,7.4549124,,,,
S3F3_R2,11.16556387,9.943364232,7.919560545,7.004510514,5.769666994,6.195583274,6.59265562,7.35939214,,,,
S3F3_R3,10.41545502,9.73819057,8.151265039,7.3583571,6.270734871,6.431306223,6.743804806,7.41699844,,,,
S3F3_R4,10.50712695,9.828501202,8.382948437,7.676122602,6.564749649,6.907736715,7.23126275,7.934344287,,,,
S3F3_R5,12.52773774,10.58526442,8.28517505,7.438767741,6.338522777,6.690488852,7.056151465,7.95012225,,,,
S4F1_R1,40.19908963,31.80154531,20.05814681,14.41611573,9.314165911,4.045015419,4.792589105,5.288272856,,,,
S4F1_R2,46.5879608,37.2875195,24.73353977,18.78183524,10.55360616,4.875618757,8.137452429,6.615824836,,,,
S4F1_R3,48.60968106,39.5452189,25.79788754,21.20814985,12.56486723,6.641491135,10.15073208,6.385400589,,,,
S4F1_R4,50.93786697,40.93280936,28.91422171,19.49952173,14.31043739,7.404330325,6.114914186,7.02471918,,,,
S4F1_R5,53.18311,41.7203324,27.03139293,20.7797333,11.86504957,9.982411564,1.451381262,6.410206747,,,,
S4F2_R1,31.26108452,28.19462571,27.17486287,28.45433569,31.70128694,32.60050098,32.27220451,30.77624645,,,,
S4F2_R2,33.50212259,30.79702,30.39758114,31.54768827,34.99604192,35.85896946,35.6943618,34.28993566,,,,
S4F2_R3,33.42692474,30.06379586,28.88304416,29.97562178,33.5680927,34.99931608,34.78639625,33.26542131,,,,
S4F2_R4,33.23169825,30.33416663,29.83369891,31.08798966,34.53825651,35.29861127,35.07648306,33.52439646,,,,
S4F2_R5,31.22781349,28.56216302,28.01711049,28.99796602,32.14454688,33.17083232,32.89670723,31.43799286,,,,
S4F3_R1,25.48180867,20.74305794,14.88904526,12.74185877,10.50775095,12.1313414,13.16439743,15.33061084,,,,
S4F3_R2,22.47989253,18.48168977,13.30367717,11.41776366,9.740350269,11.06598491,12.00679087,13.84144572,,,,
S4F3_R3,24.9501912,20.40475327,15.19596308,12.50962647,10.6410001,12.08461453,13.12658211,15.33445753,,,,
S4F3_R4,24.85855421,20.13113886,14.72401381,12.25116546,10.59397458,11.99186214,12.99986373,15.23923264,,,,
S4F3_R5,25.05082061,20.60922636,15.30298116,12.95026603,10.80409701,12.22621732,13.26829452,15.38050362,,,,
